,Predicted
0,"sample alias: fKidney_renal_pelvis.H-24365d96; sample common name: Fetal Renal Pelvis; molecule: genomic DNA; disease: None; biomaterial_provider: University of Washington, Congenital Defects Lab. Ian Glass; biomaterial_type: Primary Tissue; tissue_type: Fetal Renal Pelvis; tissue_depot: UW; collection_method: fetal; donor_id: H-24365; donor_age: day 96; donor_health_status: NA; donor_sex: Female; donor_ethnicity: NA; experiment_type: Chromatin Accessibility; extraction_protocol: Qiagen minElut; dnase_protocol: http://www.roadmapepigenomics.org/protocols/type/experimental/ Design description: Chromatin accessibility determination via DNase-seq; Library name: DNase.DS20027; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.14348; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.14347; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   renal pelvis female embryo (96 days) Kidney renal pelvic tissue from a healthy day 96 female fetus from Ian Glass of University of Washington, Congenital Defects Lab. = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: renal pelvis - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: 96 - Age units: day - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
1,"NCOA1 ChIP-seq on human K562 K562 Leukemia, the continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: CTCF - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: transcription factor $ <pad>"
2,RNA-seq of mouse small intestine tissue. The second technical replicate was performed in May 2015 and was not part of the original Lin et al. 2014 publication (PMID:25413365). C57BL/6 small intestine female adult (10 weeks) = Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: small intestine - Project: ENCODE - Organism: Mus musculus - Life stage: adult - Age: 10 - Age units: week - Sex: female - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>
3,"tibial nerve male adult (37 years) EnTEX: Nerve - Tibial = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me3 - Genome assembly: GRCh38,hg19 - Biosample term name: tibial nerve - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 37 - Age units: year - Sex: male - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: histone,broad histone mark $ <pad>"
4,"HNRNPK ChIP-seq in K562 K562 HNRNPK ChIP-seq in K562 = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: HNRNPK - Genome assembly: GRCh38,hg19 - Biosample term name: K562 - Project: ENCODE - Organism: Homo sapiens - Life stage: adult - Age: 53 - Age units: year - Sex: female - Ethnicity: None - Health status: chronic myelogenous leukemia (CML) - Classification: cell line - Investigated as: transcription factor $ <pad>"
5,"sample alias: CD3.RO_01721; sample common name: CD3 Primary Cells; molecule: genomic DNA; disease: None; biomaterial_provider: FHCRC HEIMFELD; biomaterial_type: Primary Cell; cell_type: CD3 Primary Cells; markers: CD3+; donor_id: RO 01679; donor_age: year 21; donor_health_status: NA; donor_sex: Male; donor_ethnicity: Caucasian; passage_if_expanded: NA; experiment_type: Digital Genomic Footprinting; extraction_protocol: Qiagen minElut; dnase_protocol: http://www.roadmapepigenomics.org/protocols/type/experimental/ Design description: Digital Genomic Footprinting determination via DNase-seq; Library name: DGF.DS17198; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FEXPERIMENT%2FEDACC.14569; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FUniversity%20of%20Washington%2FSAMPLE%2FEDACC.5322; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies;   T-cell male adult (21 year) Flow sorted CD3+ primary cells of a healthy 21 year old Caucasian male. Cells were provided by Shelly Heimfeld lab at FHCRC. = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: GRCh38,hg19 - Biosample term name: T-cell - Project: Roadmap - Organism: Homo sapiens - Life stage: adult - Age: 21 - Age units: year - Sex: male - Ethnicity: Caucasian - Health status: None - Classification: primary cell - Investigated as: None $ <pad>"
6,"molecule: genomic DNA; disease: none; biomaterial_provider: Cellular Dynamics; biomaterial_type: Cell Line; line: H1; lineage: undifferentiated; differentiation_stage: stage_zero; differentiation_method: none; passage: 32.0; medium: TESR; sex: Male; batch: 0/0/00; experiment_type: Histone H3K4me1; extraction_protocol: SDS lysis; extraction_protocol_type_of_sonicator: Bioruptor; extraction_protocol_sonication_cycles: 1; chip_protocol: Bernstein_BROAD_ENCODE_protocol; chip_protocol_chromatin_amount: 10 million cells; chip_protocol_bead_type: Protein A-Sepharose 4B; chip_protocol_bead_amount: 70 ul bed volume; chip_protocol_antibody_amount: 2-15 ug; chip_antibody: H3K4Me1; chip_antibody_provider: Abcam; chip_antibody_catalog: ab8895; chip_antibody_lot: 383111 Design description: Human Chromatin IP REMC Sequencing on Illumina; Library name: Solexa-13061; EDACC Genboree Experiment Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FBroad%2FEXPERIMENT%2FEDACC.2494; EDACC Genboree Sample Page:; http://genboree.org/java-bin/project.jsp?projectName=XML%20Submissions%2FBroad%2FSAMPLE%2FEDACC.2353; ; For data usage terms and conditions, please refer to:; http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies; ; BED and WIG files were replaced on April 29, 2014  H1 H1 (WA01) embryonic stem cells provided by Cellular Dynamics and maintained on mTeSR medium.,H1 stem cells from Cellular Dynamics = Assay name: H3K4me1;  H1 cell line provided by Cellular Dynamics. Cells were differentiated in medium containing 0.1% FBSF3% CBFBS and were cultured in mTeSR+SiRNA knockdown method. = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: H3K4me1 - Genome assembly: GRCh38,hg19 - Biosample term name: H1 - Project: Roadmap - Organism: Homo sapiens - Life stage: embryonic - Age: unknown - Age units: None - Sex: male - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: histone,narrow histone mark $ <pad>"
7,"PolyA RNA-Seq from oligo-dT primed Total RNA on postnatal 0 day mouse lungs C57BL/6 lung postnatal (0 days) 2 lungs from pup3 pregnant 1,2 lungs from pup1 pregnant 1 = Assay name: RNA-seq - Assay type: Transcription - Target of assay: None - Genome assembly: mm10 - Biosample term name: lung - Project: ENCODE - Organism: Mus musculus - Life stage: postnatal - Age: 0 - Age units: day - Sex: unknown - Ethnicity: None - Health status: None - Classification: tissue - Investigated as: None $ <pad>"
8,"NRF1 ChIP-seq mouse MEL produced by the Snyder lab DBA/2 MEL cell line Leukemia (K562 analog) = Assay name: ChIP-seq - Assay type: DNA binding - Target of assay: NRF1 - Genome assembly: mm9,mm10 - Biosample term name: MEL cell line - Project: ENCODE - Organism: Mus musculus - Life stage: unknown - Age: unknown - Age units: None - Sex: unknown - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: transcription factor $ <pad>"
9,Cortex1 from 6 mo C57BL/6 male C57BL/6 cerebral cortex adult (6 months) Cortex from 6 mo C57BL/6 male = Assay name: DNase-seq - Assay type: DNA accessibility - Target of assay: None - Genome assembly: mm10 - Biosample term name: Cortex1 - Project: ENCODE - Organism: Mus musculus - Life stage: adult - Age: 6 - Age units: month - Sex: male - Ethnicity: None - Health status: None - Classification: cell line - Investigated as: None $ <pad>
